id,artist_name,event_type,event_name,date,venue,city,country,img_1,img_2,img_3,link,description
1157,Talco,concert,,10/06/2023,Stadtpark,Hamburg,Germany,skap_talco_2023.jpg,,,,
1158,Rammstein,festival,Sonisphere 2010,10/07/2010,Getafe Open Air,Getafe,Spain,sonisphere_cartel_2010.jpg,,,https://es.wikipedia.org/wiki/Festival_Sonisphere#Espa%C3%B1a_2,
1159,Sum 41,concert,,27/09/2022,Wizink Center (Palacio de los Deportes),Madrid,Spain,sum41_2022.jpg,,,,
1160,The Prodigy,festival,Tsunami Xixón,03/08/2018,La Laboral,Gijón,Spain,tsunami_cartel_2018.jpg,,,https://www.tsunamixixon.com/ediciones-anteriores/,
1161,Gogol Bordello,festival,Tsunami Xixón,03/08/2018,La Laboral,Gijón,Spain,tsunami_cartel_2018.jpg,,,https://www.tsunamixixon.com/ediciones-anteriores/,
1162,Bad Religion,festival,Tsunami Xixón,04/08/2018,La Laboral,Gijón,Spain,tsunami_cartel_2018.jpg,,,https://www.tsunamixixon.com/ediciones-anteriores/,
1163,The Hives,festival,Tsunami Xixón,03/08/2018,La Laboral,Gijón,Spain,tsunami_cartel_2018.jpg,,,https://www.tsunamixixon.com/ediciones-anteriores/,
1164,Volbeat,concert,Rewind Replay Rebound,09/10/2019,La Riviera,Madrid,Spain,volbeat_2019.jpg,,,,
1165,Zaz,concert,Noches del Botánico,28/07/2023,Real Jardín Botánico Alfonso XIII,Madrid,Spain,zaz_2023.png,,,,
1166,Zoo,concert,IIIII Aniversari,17/10/2019,La Riviera,Madrid,Spain,zoo_2019.jpg,,,,
1167,Zoo,concert,Llepolies,08/05/2021,Teatro EDP Gran Vía,Madrid,Spain,zoo_2021.jpg,,,,
1168,Zoo,concert,,03/12/2022,Wizink Center (Palacio de los Deportes),Madrid,Spain,zoo_2022.png,,,,
1169,Zoo,concert,Noches del Botánico,24/06/2023,Real Jardín Botánico Alfonso XIII,Madrid,Spain,zoo_2023.png,,,,
1170,Zoo,concert,,29/06/2024,La Riviera,Madrid,Spain,zoo_2024.jpg,,,,
1171,Mägo de Oz,festival,Viña Rock 2003,02/05/2003,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2003.jpg,vinarock_2003.jpg,vinarock_pulsera_2003.jpg,,
1172,La Polla,festival,Viña Rock 2003,02/05/2003,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2003.jpg,vinarock_2003.jpg,vinarock_pulsera_2003.jpg,,
1173,Sugarless,festival,Viña Rock 2003,02/05/2003,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2003.jpg,vinarock_2003.jpg,vinarock_pulsera_2003.jpg,,
1174,Delinqüentes,festival,Viña Rock 2003,02/05/2003,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2003.jpg,vinarock_2003.jpg,vinarock_pulsera_2003.jpg,,
